Track ID,Track name,Artist name,Popularity,Release year,Category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration
4vF2Cga3fwPOFj63gRmhYx,Pop,La Oreja de Van Gogh,28,2021,Pop,0.701,0.859,9,-5.117,1,0.0318,0.038,0.0,0.0929,0.688,133.594,audio_features,4vF2Cga3fwPOFj63gRmhYx,spotify:track:4vF2Cga3fwPOFj63gRmhYx,https://api.spotify.com/v1/tracks/4vF2Cga3fwPOFj63gRmhYx,https://api.spotify.com/v1/audio-analysis/4vF2Cga3fwPOFj63gRmhYx,151853,4,2.53
2mlGPkAx4kwF8Df0GlScsC,Buttercup,Jack Stauber,69,2017,Pop,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,audio_features,2mlGPkAx4kwF8Df0GlScsC,spotify:track:2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/tracks/2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/audio-analysis/2mlGPkAx4kwF8Df0GlScsC,208026,4,3.47
0W4LuFmdFJ9vuNMnyGrpHL,Pop,Loc Papii,10,2020,Pop,0.759,0.668,1,-5.348,0,0.265,0.0144,0.0,0.109,0.382,139.906,audio_features,0W4LuFmdFJ9vuNMnyGrpHL,spotify:track:0W4LuFmdFJ9vuNMnyGrpHL,https://api.spotify.com/v1/tracks/0W4LuFmdFJ9vuNMnyGrpHL,https://api.spotify.com/v1/audio-analysis/0W4LuFmdFJ9vuNMnyGrpHL,110016,4,1.83
0OPcFAAo9LMO9xvu1L7JGD,Perc Popper,Shoreline Mafia,65,2020,Pop,0.936,0.339,1,-9.297,1,0.751,0.0825,0.0,0.211,0.273,105.165,audio_features,0OPcFAAo9LMO9xvu1L7JGD,spotify:track:0OPcFAAo9LMO9xvu1L7JGD,https://api.spotify.com/v1/tracks/0OPcFAAo9LMO9xvu1L7JGD,https://api.spotify.com/v1/audio-analysis/0OPcFAAo9LMO9xvu1L7JGD,120857,4,2.01
6hW0VmWPM70oyBYxEP9IfW,Pop,Dutts,8,2023,Pop,0.78,0.524,9,-8.63,1,0.0647,0.0269,9.59e-05,0.0924,0.7,115.989,audio_features,6hW0VmWPM70oyBYxEP9IfW,spotify:track:6hW0VmWPM70oyBYxEP9IfW,https://api.spotify.com/v1/tracks/6hW0VmWPM70oyBYxEP9IfW,https://api.spotify.com/v1/audio-analysis/6hW0VmWPM70oyBYxEP9IfW,289460,4,4.82
7rSnKi58HPIVC0FVyh04Q1,Shake The Room (feat. Quavo),Pop Smoke,66,2020,Pop,0.733,0.684,2,-4.748,1,0.177,0.142,0.0,0.179,0.437,142.04,audio_features,7rSnKi58HPIVC0FVyh04Q1,spotify:track:7rSnKi58HPIVC0FVyh04Q1,https://api.spotify.com/v1/tracks/7rSnKi58HPIVC0FVyh04Q1,https://api.spotify.com/v1/audio-analysis/7rSnKi58HPIVC0FVyh04Q1,165640,4,2.76
4ToGHkfnb0DCc0oHQNxFJb,Pop,Kblast,8,2022,Pop,0.888,0.251,1,-14.2,0,0.103,0.00592,0.000159,0.0923,0.637,131.035,audio_features,4ToGHkfnb0DCc0oHQNxFJb,spotify:track:4ToGHkfnb0DCc0oHQNxFJb,https://api.spotify.com/v1/tracks/4ToGHkfnb0DCc0oHQNxFJb,https://api.spotify.com/v1/audio-analysis/4ToGHkfnb0DCc0oHQNxFJb,190508,4,3.18
7CvOnbFdnIoXMQ4eFCo5lB,Around the World (La La La La La) - Radio Version,A Touch Of Class,69,2000,Pop,0.617,0.977,9,-7.028,0,0.0276,0.153,0.0016,0.133,0.679,131.965,audio_features,7CvOnbFdnIoXMQ4eFCo5lB,spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,https://api.spotify.com/v1/tracks/7CvOnbFdnIoXMQ4eFCo5lB,https://api.spotify.com/v1/audio-analysis/7CvOnbFdnIoXMQ4eFCo5lB,214533,4,3.58
52DI5emPQYK0iGsEbUHh3E,Pop,Neumonic,12,2023,Pop,0.776,0.801,0,-9.317,1,0.0799,0.117,0.833,0.144,0.378,135.003,audio_features,52DI5emPQYK0iGsEbUHh3E,spotify:track:52DI5emPQYK0iGsEbUHh3E,https://api.spotify.com/v1/tracks/52DI5emPQYK0iGsEbUHh3E,https://api.spotify.com/v1/audio-analysis/52DI5emPQYK0iGsEbUHh3E,200000,4,3.33
5f0TOjFP3c96TFHzKnx5ri,POPOPOP,Gambi,62,2020,Pop,0.839,0.643,0,-6.015,0,0.329,0.0348,3.76e-05,0.125,0.45,129.979,audio_features,5f0TOjFP3c96TFHzKnx5ri,spotify:track:5f0TOjFP3c96TFHzKnx5ri,https://api.spotify.com/v1/tracks/5f0TOjFP3c96TFHzKnx5ri,https://api.spotify.com/v1/audio-analysis/5f0TOjFP3c96TFHzKnx5ri,155573,4,2.59
